timestamp,mae_reaction_time,r2_reaction_time,mae_memory_accuracy,r2_memory_accuracy
2025-06-16 00:37:09,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 00:41:45,1.4839999999999918,0.971802440385222,4.666666666794199e-05,0.8732758620690338
2025-06-16 00:42:25,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 00:47:26,3.7695450000000097,0.9014221998355594,0.0102359999999999,0.8513527279745563
2025-06-16 00:47:46,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 00:47:59,6.4968631501041445,0.8447010457935,0.030668520905556,0.8840017095450636
2025-06-16 00:48:08,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 00:48:22,3.7695450000000097,0.9014221998355594,0.0102359999999999,0.8513527279745563
2025-06-16 00:49:08,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 00:50:51,9.522599999999922,0.8216340230183068,0.0146649999999999,0.8880106510252543
2025-06-16 00:51:25,2.5357142857142856,0.9834965277777776,0.0051,0.9778672619047604
2025-06-16 02:33:38,1.4839999999999918,0.9718024403852219,4.6666666667941985e-05,0.8732758620690338
